C:\Users\nagak\AppData\Local\Temp\RenderDoc\sample_app_2026.04.18_05.06.10_frame237.rdc - Frame #237

 EID  | Event                                                             | Action # | Duration (Microseconds)
8221  |   - DrawIndexedInstanced(2856, 1)                                 | 286    | 2.368
8231  |   - DrawIndexedInstanced(780, 1)                                  | 287    | 2.528
8241  |   - DrawIndexedInstanced(228, 1)                                  | 288    | 2.88
8251  |   - DrawIndexedInstanced(240, 1)                                  | 289    | 2.432
8261  |   - DrawIndexedInstanced(2856, 1)                                 | 290    | 2.88
8271  |   - DrawIndexedInstanced(780, 1)                                  | 291    | 2.656
8281  |   - DrawIndexedInstanced(228, 1)                                  | 292    | 3.616
8291  |   - DrawIndexedInstanced(240, 1)                                  | 293    | 2.688
8301  |   - DrawIndexedInstanced(2856, 1)                                 | 294    | 2.368
8311  |   - DrawIndexedInstanced(780, 1)                                  | 295    | 2.624
8321  |   - DrawIndexedInstanced(228, 1)                                  | 296    | 2.496
8331  |   - DrawIndexedInstanced(240, 1)                                  | 297    | 2.816
8341  |   - DrawIndexedInstanced(2856, 1)                                 | 298    | 3.136
8351  |   - DrawIndexedInstanced(780, 1)                                  | 299    | 1.696
8361  |   - DrawIndexedInstanced(228, 1)                                  | 300    | 2.848
8371  |   - DrawIndexedInstanced(240, 1)                                  | 301    | 2.656
8381  |   - DrawIndexedInstanced(2856, 1)                                 | 302    | 3.52
8391  |   - DrawIndexedInstanced(780, 1)                                  | 303    | 3.104
8401  |   - DrawIndexedInstanced(228, 1)                                  | 304    | 2.336
8411  |   - DrawIndexedInstanced(240, 1)                                  | 305    | 2.56
8421  |   - DrawIndexedInstanced(2856, 1)                                 | 306    | 1.632
8431  |   - DrawIndexedInstanced(780, 1)                                  | 307    | 2.368
8441  |   - DrawIndexedInstanced(228, 1)                                  | 308    | 2.752
8451  |   - DrawIndexedInstanced(240, 1)                                  | 309    | 2.592
8461  |   - DrawIndexedInstanced(2856, 1)                                 | 310    | 2.208
8471  |   - DrawIndexedInstanced(780, 1)                                  | 311    | 2.752
8481  |   - DrawIndexedInstanced(228, 1)                                  | 312    | 3.84
8491  |   - DrawIndexedInstanced(240, 1)                                  | 313    | 3.264
8501  |   - DrawIndexedInstanced(2856, 1)                                 | 314    | 2.208
8511  |   - DrawIndexedInstanced(780, 1)                                  | 315    | 1.504
8521  |   - DrawIndexedInstanced(228, 1)                                  | 316    | 3.584
8531  |   - DrawIndexedInstanced(240, 1)                                  | 317    | 3.424
8541  |   - DrawIndexedInstanced(2856, 1)                                 | 318    | 2.592
8551  |   - DrawIndexedInstanced(780, 1)                                  | 319    | 1.664
8561  |   - DrawIndexedInstanced(228, 1)                                  | 320    | 3.68
8571  |   - DrawIndexedInstanced(240, 1)                                  | 321    | 3.488
8581  |   - DrawIndexedInstanced(2856, 1)                                 | 322    | 2.208
